Keyword,Category
TRADER JOE,Grocery
AMZN,Online Shopping
CROSS RIVER,Meal
GRILL,Restaurant
Bakery,Grocery
PAYBYPHONE,Parking
KITCHEN,Restaurant
PIZZA,Meal
SPEEDWAY,Gas
CHICKEN,Meal
MART,Grocery
LAHMAJOUN,Restaurant
HOME DEPOT,Home Improvement
WALLGREENS,Pharmacy
NYCDOT,Parking
FITNESS,GYM
UPS,Shipping
7-ELEVEN,Grocery
SEAFOOD,Restaurant
CVS,Pharmacy
KAM MAN,Grocery
STORY OF PIER,Restaurant
POKEBOWL,Meal
GRAINS RICE,Restaurant
ROCKETLAW,Legal Fee
GAS,Gas
76 FORT,Gas
MARKET,Grocery
VIVA MARGARITA,Restaurant
CHIROPRACTIC,Medical
INTUIT,Tax Software
HAN NAM,Grocery
DEEMIBANG,Meal
Dun Huang,Restaurant
DUANE READE,Pharmacy
DELTA,Gas
AMC,Entertainment
GEICO,Insurance
JIANG NAN,Restaurant
PARKWHIZ,Parking
TANG MARU,Restaurant
DURI CATERING,Meal
PABT,Parking
AUTOPAY,CARD Payment
GEORGE WSH BR,Parking/Toll
PARKING,Parking
MOGE TEE,Entertainment
SICHUAN,Restaurant
HAIR,Self Care
SOMA Fort Lee,Restaurant
RESTAURANT,Restaurant
TIPSY SHANGHAI,Restaurant
SA RIT GOL,Restaurant
BCG AUTO,Auto Repair
FLUSHING COMMO,Parking
WALGREENS,Pharmacy
MICHAELS STORES,DIY Tools
JIBEI CHUAN,Restaurant
PARK PALISADES PAR,Parking
LAF,Gym
LA FIT,Gym
Kindle,Education
